口語名稱,交易日期,作物名稱,市場名稱,上價,中價,下價,平均價,交易量
高麗菜,115.08.25,甘藍-初秋,台北一,66.3,51.3,23.0,48.6,18065.0
高麗菜,115.08.25,甘藍-改良種,台北一,29.2,25.9,19.6,25.3,161468.0
高麗菜,115.08.25,甘藍-紫色,台北一,38.4,23.8,4.7,22.9,393.0
高麗菜,115.08.25,甘藍-甘藍心,台北一,185.0,177.4,165.0,176.4,126.0
高麗菜,115.08.25,甘藍-甘藍芽,台北一,30.0,30.0,30.0,30.0,90.0
高麗菜,115.08.25,甘藍-進口 初秋,台北一,43.0,29.1,24.0,30.8,8263.0
高麗菜,115.08.25,甘藍-進口 改良種,台北一,21.2,13.0,5.7,13.2,16237.0
高麗菜,115.08.25,甘藍-進口 紫色,台北一,8.0,8.0,8.0,8.0,50.0
高麗菜,115.08.24,休市,台北一,0.0,0.0,0.0,0.0,0.0
高麗菜,115.08.24,休市,台北一,0.0,0.0,0.0,0.0,0.0
高麗菜,115.08.23,甘藍-初秋,台北一,59.0,36.3,19.8,37.5,25331.0
高麗菜,115.08.23,甘藍-改良種,台北一,25.5,21.8,15.7,21.3,113165.0
高麗菜,115.08.23,甘藍-紫色,台北一,46.0,24.3,6.9,25.2,447.0
高麗菜,115.08.23,甘藍-進口 初秋,台北一,30.8,21.6,12.8,21.7,6015.0
高麗菜,115.08.23,甘藍-進口 改良種,台北一,21.0,14.7,10.0,15.0,4525.0
高麗菜,115.08.23,甘藍-進口 紫色,台北一,40.0,40.0,40.0,40.0,75.0
高麗菜,115.08.22,甘藍-初秋,台北一,68.2,35.5,24.4,39.8,23980.0
高麗菜,115.08.22,甘藍-改良種,台北一,24.1,18.8,12.9,18.7,128856.0
高麗菜,115.08.22,甘藍-紫色,台北一,50.0,20.5,10.0,24.3,327.0
高麗菜,115.08.22,甘藍-改良尖,台北一,14.0,14.0,14.0,14.0,440.0
高麗菜,115.08.22,甘藍-進口 初秋,台北一,33.4,26.6,15.0,25.6,7035.0
高麗菜,115.08.22,甘藍-進口 改良種,台北一,17.4,10.6,6.6,11.2,9906.0
高麗菜,115.08.22,甘藍-進口 紫色,台北一,35.0,35.0,35.0,35.0,75.0
高麗菜,115.08.21,甘藍-初秋,台北一,68.8,49.6,27.5,49.1,18125.0
高麗菜,115.08.21,甘藍-改良種,台北一,22.9,18.1,9.7,17.4,151409.0
高麗菜,115.08.21,甘藍-紫色,台北一,40.0,19.0,4.0,20.2,345.0
高麗菜,115.08.21,甘藍-甘藍心,台北一,170.0,170.0,170.0,170.0,30.0
高麗菜,115.08.21,甘藍-改良尖,台北一,15.0,15.0,15.0,15.0,720.0
高麗菜,115.08.21,甘藍-進口 初秋,台北一,31.2,24.5,14.5,23.8,6150.0
高麗菜,115.08.21,甘藍-進口 改良種,台北一,16.4,13.3,9.0,13.0,12846.0
高麗菜,115.08.21,甘藍-進口 紫色,台北一,12.0,12.0,12.0,12.0,18.0
高麗菜,115.08.20,甘藍-初秋,台北一,68.9,56.2,30.0,53.5,3530.0
高麗菜,115.08.20,甘藍-改良種,台北一,24.7,20.3,15.1,20.1,76193.0
高麗菜,115.08.20,甘藍-紫色,台北一,50.0,22.2,4.0,24.1,255.0
高麗菜,115.08.20,甘藍-甘藍心,台北一,130.0,130.0,130.0,130.0,72.0
高麗菜,115.08.20,甘藍-甘藍芽,台北一,20.0,20.0,18.5,19.7,102.0
高麗菜,115.08.20,甘藍-進口 初秋,台北一,39.7,24.9,19.7,26.8,3857.0
高麗菜,115.08.20,甘藍-進口 改良種,台北一,15.0,14.4,11.1,13.8,5160.0
高麗菜,115.08.20,甘藍-進口 紫色,台北一,28.0,28.0,28.0,28.0,90.0
青江菜,115.08.25,青江白菜-小梗,台北一,61.1,37.0,26.3,39.7,14123.0
青江菜,115.08.24,休市,台北一,0.0,0.0,0.0,0.0,0.0
青江菜,115.08.24,休市,台北一,0.0,0.0,0.0,0.0,0.0
青江菜,115.08.23,青江白菜-小梗,台北一,38.1,20.2,7.1,21.2,17676.0
青江菜,115.08.22,青江白菜-小梗,台北一,33.2,18.0,6.4,18.7,17873.0
青江菜,115.08.21,青江白菜-小梗,台北一,36.9,16.2,6.3,18.3,15822.0
青江菜,115.08.21,青江白菜-大梗,台北一,13.9,12.0,12.0,12.4,160.0
青江菜,115.08.20,青江白菜-小梗,台北一,39.7,19.1,7.7,21.0,9563.0
小白菜,115.08.25,小白菜-其他,台北一,33.0,30.2,28.0,30.3,480.0
小白菜,115.08.25,小白菜-土白菜,台北一,40.5,32.8,17.7,31.3,4512.0
小白菜,115.08.25,小白菜-蚵仔白,台北一,52.1,30.7,15.7,32.0,22710.0
小白菜,115.08.25,小白菜-奶油白,台北一,165.0,112.3,33.6,107.1,304.0
小白菜,115.08.24,休市,台北一,0.0,0.0,0.0,0.0,0.0
小白菜,115.08.24,休市,台北一,0.0,0.0,0.0,0.0,0.0
小白菜,115.08.23,小白菜-土白菜,台北一,35.5,19.7,7.8,20.5,4678.0
小白菜,115.08.23,小白菜-蚵仔白,台北一,34.6,26.0,13.0,25.1,19119.0
小白菜,115.08.23,小白菜-奶油白,台北一,87.6,15.8,10.5,29.1,1396.0
小白菜,115.08.22,小白菜-其他,台北一,7.0,6.7,6.0,6.6,480.0
小白菜,115.08.22,小白菜-土白菜,台北一,39.5,27.7,12.2,27.0,2643.0
小白菜,115.08.22,小白菜-蚵仔白,台北一,30.4,16.6,7.2,17.5,20067.0
小白菜,115.08.22,小白菜-奶油白,台北一,72.8,22.5,14.4,31.0,1464.0
小白菜,115.08.21,小白菜-其他,台北一,9.0,8.0,7.0,8.0,120.0
小白菜,115.08.21,小白菜-土白菜,台北一,30.4,16.5,5.0,17.0,2790.0
小白菜,115.08.21,小白菜-蚵仔白,台北一,27.9,15.1,6.4,15.9,21883.0
小白菜,115.08.21,小白菜-奶油白,台北一,53.0,32.8,15.7,33.4,1203.0
小白菜,115.08.20,小白菜-其他,台北一,7.0,6.4,6.0,6.4,240.0
小白菜,115.08.20,小白菜-土白菜,台北一,40.0,29.5,16.4,29.0,2400.0
小白菜,115.08.20,小白菜-蚵仔白,台北一,36.0,20.7,9.8,21.6,14148.0
小白菜,115.08.20,小白菜-奶油白,台北一,47.1,31.9,18.5,32.2,491.0
菠菜,115.08.25,菠菜-角葉,台北一,300.8,257.2,208.1,256.1,380.0
菠菜,115.08.24,休市,台北一,0.0,0.0,0.0,0.0,0.0
菠菜,115.08.24,休市,台北一,0.0,0.0,0.0,0.0,0.0
菠菜,115.08.23,菠菜-角葉,台北一,229.4,80.3,19.3,98.0,1260.0
菠菜,115.08.22,菠菜-角葉,台北一,233.1,121.4,49.6,129.4,1300.0
菠菜,115.08.21,菠菜-角葉,台北一,257.7,64.8,25.2,95.5,1518.0
菠菜,115.08.20,菠菜-角葉,台北一,101.6,56.0,19.0,57.7,980.0
空心菜,115.08.25,蕹菜-小葉,台北一,68.7,47.3,30.8,48.3,12419.0
空心菜,115.08.25,蕹菜-水蕹菜,台北一,91.6,73.5,54.0,73.2,2425.0
空心菜,115.08.24,休市,台北一,0.0,0.0,0.0,0.0,0.0
空心菜,115.08.24,休市,台北一,0.0,0.0,0.0,0.0,0.0
空心菜,115.08.23,蕹菜-小葉,台北一,43.5,31.0,15.4,30.4,14616.0
空心菜,115.08.23,蕹菜-水蕹菜,台北一,72.2,69.7,57.8,67.8,1673.0
空心菜,115.08.22,蕹菜-小葉,台北一,34.6,22.0,13.5,22.9,16711.0
空心菜,115.08.22,蕹菜-水蕹菜,台北一,80.0,71.9,42.2,67.6,1702.0
空心菜,115.08.21,蕹菜-小葉,台北一,32.9,24.1,16.2,24.3,14528.0
空心菜,115.08.21,蕹菜-水蕹菜,台北一,70.0,62.4,39.6,59.4,1486.0
空心菜,115.08.20,蕹菜-小葉,台北一,41.8,22.6,10.2,24.0,13603.0
空心菜,115.08.20,蕹菜-水蕹菜,台北一,55.0,49.3,32.3,47.0,1388.0
花椰菜,115.08.25,花椰菜-青梗,台北一,135.0,53.1,12.6,61.3,4658.0
花椰菜,115.08.24,休市,台北一,0.0,0.0,0.0,0.0,0.0
花椰菜,115.08.24,休市,台北一,0.0,0.0,0.0,0.0,0.0
花椰菜,115.08.23,花椰菜-青梗,台北一,124.2,62.3,26.7,67.5,2826.0
花椰菜,115.08.23,花椰菜-進口,台北一,75.0,70.8,65.0,70.5,189.0
花椰菜,115.08.22,花椰菜-青梗,台北一,203.4,89.0,23.6,98.8,1431.0
花椰菜,115.08.22,花椰菜-進口,台北一,75.0,75.0,72.0,74.4,195.0
花椰菜,115.08.21,花椰菜-青梗,台北一,148.0,77.8,30.0,82.3,2198.0
花椰菜,115.08.21,花椰菜-進口,台北一,75.0,75.0,75.0,75.0,195.0
花椰菜,115.08.20,花椰菜-青梗,台北一,98.0,53.0,12.7,53.9,456.0
花椰菜,115.08.20,花椰菜-進口,台北一,70.0,70.0,70.0,70.0,130.0
絲瓜,115.08.25,絲瓜-其他,台北一,71.6,44.4,25.2,46.0,2301.0
絲瓜,115.08.25,絲瓜,台北一,85.4,52.0,25.3,53.3,26232.0
絲瓜,115.08.25,絲瓜-角瓜,台北一,81.7,56.4,35.8,57.3,1574.0
絲瓜,115.08.25,絲瓜-長絲瓜,台北一,36.0,29.0,23.0,29.2,44.0
絲瓜,115.08.24,休市,台北一,0.0,0.0,0.0,0.0,0.0
絲瓜,115.08.24,休市,台北一,0.0,0.0,0.0,0.0,0.0
絲瓜,115.08.23,絲瓜-其他,台北一,74.7,48.5,30.3,50.1,1290.0
絲瓜,115.08.23,絲瓜,台北一,72.3,47.0,23.6,47.4,20397.0
絲瓜,115.08.23,絲瓜-角瓜,台北一,61.2,51.8,37.0,50.7,1168.0
絲瓜,115.08.23,絲瓜-長絲瓜,台北一,40.0,40.0,40.0,40.0,22.0
絲瓜,115.08.22,絲瓜-其他,台北一,71.4,32.6,18.8,37.6,1472.0
絲瓜,115.08.22,絲瓜,台北一,73.8,47.4,18.8,47.0,16781.0
絲瓜,115.08.22,絲瓜-角瓜,台北一,85.0,68.1,45.8,67.0,813.0
絲瓜,115.08.22,絲瓜-長絲瓜,台北一,40.0,40.0,40.0,40.0,22.0
絲瓜,115.08.21,絲瓜-其他,台北一,62.7,33.2,18.5,36.2,1547.0
絲瓜,115.08.21,絲瓜,台北一,62.3,35.6,16.2,37.1,17711.0
絲瓜,115.08.21,絲瓜-角瓜,台北一,70.1,63.0,36.6,59.1,738.0
絲瓜,115.08.21,絲瓜-長絲瓜,台北一,40.0,36.2,31.0,35.9,42.0
絲瓜,115.08.20,絲瓜-其他,台北一,35.3,27.0,17.8,26.8,1687.0
絲瓜,115.08.20,絲瓜,台北一,46.9,30.2,13.6,30.2,18261.0
絲瓜,115.08.20,絲瓜-角瓜,台北一,49.1,45.0,39.1,44.6,872.0
苦瓜,115.08.25,苦瓜-其他,台北一,76.8,54.4,33.8,54.8,5420.0
苦瓜,115.08.25,苦瓜-白大米,台北一,109.6,64.8,32.5,67.3,13822.0
苦瓜,115.08.25,苦瓜-山苦瓜,台北一,60.0,60.0,60.0,60.0,48.0
苦瓜,115.08.25,苦瓜-翠綠,台北一,68.5,46.1,29.9,47.3,1380.0
苦瓜,115.08.24,休市,台北一,0.0,0.0,0.0,0.0,0.0
苦瓜,115.08.24,休市,台北一,0.0,0.0,0.0,0.0,0.0
苦瓜,115.08.23,苦瓜-其他,台北一,62.8,49.7,26.2,47.6,4652.0
苦瓜,115.08.23,苦瓜-白大米,台北一,93.4,59.5,24.5,59.3,13535.0
